source_id,display_name,source_group,intake_type,canonical_url_or_doi,priority_tier,observation_readiness,likely_already_in_bien,likely_bien_reason,queue_reason,recommended_next_action
manual_arroyo_high_andes_chile,Vascular plant composition along elevation gradients in High Andes of Central Chile,published_paper_with_dataset,doi,10.1016/j.dib.2024.111128,P1,direct_observation,no,New plot-gradient dataset appears unlikely to be pre-ingested,Plot-level georeferenced vascular data directly usable,Ingest plot-level dataset directly with elevation metadata preserved
manual_central_african_plot_network_cafriplot,Central African Plot Network (CAFRIPLOT) — 233 plots plus traits and herbarium specimens,vegetation_plot_database,url,https://cafriplot.net/,P1,direct_observation,no,CAFRIPLOT appears specialized and less likely already represented,"Plot network includes observations, traits, and specimens",Initiate contact for CAFRIPLOT export and prioritize specimen-linked records
manual_herbase_amazon_herbs,HERBase — Herbs of the Amazon flora database,vegetation_plot_database,url,https://www.scielo.br/j/aa/a/9Tp47pFS4bMsjRT6LkPjcHQ/?lang=en,P1,direct_observation,no,HERBase appears specialized and less likely already in BIEN,Amazon herb plot database appears observation-oriented,Find HERBase downloadable table and validate record-level fields
manual_red_argentina_parcelas_permanentes,Red Argentina de Parcelas Permanentes de Bosques Nativos,vegetation_plot_database,url,"",P1,direct_observation,no,Argentina permanent plot network appears unlikely to be pre-ingested,Permanent plot network with likely repeated observations,Request network data access and ingest permanent-plot observations
manual_russian_arctic_vegetation_archive,Russian Arctic Vegetation Archive — 2873 open-access geobotanical plots,published_paper_with_dataset,doi,10.1111/geb.13724,P1,direct_observation,no,Open-access Arctic plots appear less likely fully ingested,Open-access geobotanical plot observations are ingestion-ready,Pull open-access plot tables from publication assets
manual_altb_virtual_herbarium,Virtual Herbarium ALTB — Altai Mountain Country vascular plants,published_paper_with_dataset,doi,10.3897/BDJ.9.e67616,P1,direct_observation,possible,Virtual herbarium data often mirrored in GBIF/BIEN ingestion channels,Direct herbarium specimen records with geospatial attributes,Check ALTB export/API and ingest specimen records with institution metadata
manual_amazon_tree_diversity_network_atdn,Amazon Tree Diversity Network (ATDN),vegetation_plot_database,url,https://sites.google.com/naturalis.nl/amazon-tree-diversity-network/homepage,P1,direct_observation,possible,ATDN is a major network with plausible prior partial integration,Major tree plot network with direct observation potential,Request ATDN extract terms and ingest accessible occurrence/plot records
manual_arctic_vegetation_archive_ava,Arctic Vegetation Archive (AVA) — UAF Geobotany Center,vegetation_plot_database,url,https://www.geobotany.uaf.edu/ava/,P1,direct_observation,possible,Large plot archive may have partial overlap through vegetation imports,Large plot archive with direct observational records,Contact AVA/data portal for bulk export and harmonize plot schema
manual_canadian_forest_inventory,Canadian National Forest Inventory (NFI),national_forest_inventory,url,https://nfi.nfis.org/en/,P1,direct_observation,possible,National inventory may have partial overlap via public forest products,National inventory plot observations are high-value if accessible,Request NFI access terms and ingest available georeferenced plot tables
manual_darkdivnet,DarkDivNet — global dark diversity plot network (presence/absence),vegetation_plot_database,url,https://macroecology.ut.ee/en/darkdivnet/,P1,direct_observation,possible,DarkDivNet network overlap unclear; format-specific integration needed,Standardized vegetation plot observations with harmonized schema,Request/obtain plot-level download package and validate presence-absence handling
