"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","query_source"
"scientific_data","10.1038/sdata.2016.18","oa_plant_functional_trait","The FAIR Guiding Principles for scientific data management and stewardship","Mark D. Wilkinson; Michel Dumontier; IJsbrand Jan Aalbersberg; Gabrielle Appleton; Myles Axton; Arie Baak; Niklas Blomberg; Jan‐Willem Boiten; Luiz Olavo Bonino da Silva Santos; Philip E. Bourne; Jildau Bouwman; Anthony J. Brookes; Tim W. Clark; Mercè Crosas; Ingrid Dillo; Olivier Dumon; Scott Edmunds; Chris T. Evelo; Richard Finkers; Alejandra González-Beltrán; Alasdair J. G. Gray; Paul Groth; Carole Goble; Jeffrey S. Grethe; Jaap Heringa; Peter A.C. ’t Hoen; Rob Hooft; Tobias Kuhn; Ruben Kok; Joost N. Kok; Scott J. Lusher; Maryann E. Martone; Albert Mons; Abel L. Packer; Bengt Persson; Philippe Rocca‐Serra; Marco Roos; René van Schaik; Susanna‐Assunta Sansone; Erik Schultes; Thierry Sengstag; Ted Slater; George Strawn; Morris A. Swertz; Mark Thompson; Johan van der Lei; Erik M. van Mulligen; Jan Velterop; Andra Waagmeester; Peter Wittenburg; Katherine Wolstencroft; Jun Zhao; Barend Mons","There is an urgent need to improve the infrastructure supporting the reuse of scholarly data. A diverse set of stakeholders-representing academia, industry, funding agencies, and scholarly publishers-have come together to design and jointly endorse a concise and measureable set of principles that we refer to as the FAIR Data Principles. The intent is that these may act as a guideline for those wishing to enhance the reusability of their data holdings. Distinct from peer initiatives that focus on the human scholar, the FAIR Principles put specific emphasis on enhancing the ability of machines to automatically find and use the data, in addition to supporting its reuse by individuals. This Comment is the first formal publication of the FAIR Principles, and includes the rationale behind them, and some exemplar implementations in the community.","Stewardship (theology); Reuse; Reusability; Implementation; Computer science; Set (abstract data type); Workflow; Data science; Knowledge management; Engineering ethics; Process management; Public relations; Business; Political science; Software engineering; Database; Engineering; Law; Politics; Programming language; Software; Waste management","Stewardship (theology); Reuse; Reusability; Implementation; Computer science; Set (abstract data type); Workflow; Data science; Knowledge management; Engineering ethics; Process management; Public relations; Business; Political science; Software engineering; Database; Engineering; Law; Politics; Programming language; Software; Waste management",,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2016.18","https://doi.org/10.1038/sdata.2016.18",,"openalex"
"scientific_data","10.1038/sdata.2016.35","oa_plant_functional_trait","MIMIC-III, a freely accessible critical care database","Alistair E. W. Johnson; Tom Pollard; Lu Shen; Li-wei H. Lehman; Mengling Feng; Mohammad M. Ghassemi; Benjamin Moody; Peter Szolovits; Leo Anthony Celi; Roger G. Mark","MIMIC-III ('Medical Information Mart for Intensive Care') is a large, single-center database comprising information relating to patients admitted to critical care units at a large tertiary care hospital. Data includes vital signs, medications, laboratory measurements, observations and notes charted by care providers, fluid balance, procedure codes, diagnostic codes, imaging reports, hospital length of stay, survival data, and more. The database supports applications including academic and industrial research, quality improvement initiatives, and higher education coursework.","Coursework; Database; Intensive care; Tertiary care; Medical emergency; MEDLINE; Medicine; Patient care; Computer science; Emergency medicine; Intensive care medicine; Medical education; Nursing; Political science; Law","Coursework; Database; Intensive care; Tertiary care; Medical emergency; MEDLINE; Medicine; Patient care; Computer science; Emergency medicine; Intensive care medicine; Medical education; Nursing; Political science; Law",,-12,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=2; exclude_hits=2","10.1038/sdata.2016.35","https://doi.org/10.1038/sdata.2016.35",,"openalex"
"scientific_data","10.1038/sdata.2018.214","oa_plant_functional_trait","Present and future Köppen-Geiger climate classification maps at 1-km resolution","Hylke E. Beck; Niklaus E. Zimmermann; Tim R. McVicar; Noemi Vergopolan; Alexis Berg; Eric F. Wood","We present new global maps of the Köppen-Geiger climate classification at an unprecedented 1-km resolution for the present-day (1980-2016) and for projected future conditions (2071-2100) under climate change. The present-day map is derived from an ensemble of four high-resolution, topographically-corrected climatic maps. The future map is derived from an ensemble of 32 climate model projections (scenario RCP8.5), by superimposing the projected climate change anomaly on the baseline high-resolution climatic maps. For both time periods we calculate confidence levels from the ensemble spread, providing valuable indications of the reliability of the classifications. The new maps exhibit a higher classification accuracy and substantially more detail than previous maps, particularly in regions with sharp spatial or elevation gradients. We anticipate the new maps will be useful for numerous applications, including species and vegetation distribution modeling. The new maps including the associated confidence maps are freely available via www.gloh2o.org/koppen.","Climate change; Vegetation (pathology); Anomaly (physics); Elevation (ballistics); Climatology; Environmental science; Climate model; Geography; Cartography; Physical geography; Remote sensing; Geology; Mathematics; Physics; Condensed matter physics; Medicine; Pathology; Geometry; Oceanography","Climate change; Vegetation (pathology); Anomaly (physics); Elevation (ballistics); Climatology; Environmental science; Climate model; Geography; Cartography; Physical geography; Remote sensing; Geology; Mathematics; Physics; Condensed matter physics; Medicine; Pathology; Geometry; Oceanography",,-24,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=3","10.1038/sdata.2018.214","https://doi.org/10.1038/sdata.2018.214",,"openalex"
"scientific_data","10.1038/sdata.2015.66","oa_plant_functional_trait","The climate hazards infrared precipitation with stations—a new environmental record for monitoring extremes","Chris Funk; Pete Peterson; M. F. Landsfeld; Diego Pedreros; J. P. Verdin; Shraddhanand Shukla; G. J. Husak; James Rowland; L. Harrison; Andrew Hoell; Joel Michaelsen","The Climate Hazards group Infrared Precipitation with Stations (CHIRPS) dataset builds on previous approaches to 'smart' interpolation techniques and high resolution, long period of record precipitation estimates based on infrared Cold Cloud Duration (CCD) observations. The algorithm i) is built around a 0.05° climatology that incorporates satellite information to represent sparsely gauged locations, ii) incorporates daily, pentadal, and monthly 1981-present 0.05° CCD-based precipitation estimates, iii) blends station data to produce a preliminary information product with a latency of about 2 days and a final product with an average latency of about 3 weeks, and iv) uses a novel blending procedure incorporating the spatial correlation structure of CCD-estimates to assign interpolation weights. We present the CHIRPS algorithm, global and regional validation results, and show how CHIRPS can be used to quantify the hydrologic impacts of decreasing precipitation and rising air temperatures in the Greater Horn of Africa. Using the Variable Infiltration Capacity model, we show that CHIRPS can support effective hydrologic forecasts and trend analyses in southeastern Ethiopia.","Environmental science; Precipitation; Meteorology; Climatology; Satellite; Remote sensing; Geography; Geology; Aerospace engineering; Engineering","Environmental science; Precipitation; Meteorology; Climatology; Satellite; Remote sensing; Geography; Geology; Aerospace engineering; Engineering",,-6,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=1; exclude_hits=1","10.1038/sdata.2015.66","https://doi.org/10.1038/sdata.2015.66",,"openalex"
"scientific_data","10.1038/s41597-020-0453-3","oa_plant_functional_trait","Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset","Ian Harris; Timothy J. Osborn; P. D. Jones; David Lister","CRU TS (Climatic Research Unit gridded Time Series) is a widely used climate dataset on a 0.5° latitude by 0.5° longitude grid over all land domains of the world except Antarctica. It is derived by the interpolation of monthly climate anomalies from extensive networks of weather station observations. Here we describe the construction of a major new version, CRU TS v4. It is updated to span 1901-2018 by the inclusion of additional station observations, and it will be updated annually. The interpolation process has been changed to use angular-distance weighting (ADW), and the production of secondary variables has been revised to better suit this approach. This implementation of ADW provides improved traceability between each gridded value and the input observations, and allows more informative diagnostics that dataset users can utilise to assess how dataset quality might vary geographically.","Cru; Latitude; Metadata; Interpolation (computer graphics); Grid; Geographic coordinate system; Computer science; Longitude; Weighting; Multivariate statistics; Climatology; Environmental science; Meteorology; Remote sensing; Geography; Cartography; Precipitation; Machine learning; Artificial intelligence; Geodesy; Geology; Medicine; Radiology; Motion (physics); Operating system","Cru; Latitude; Metadata; Interpolation (computer graphics); Grid; Geographic coordinate system; Computer science; Longitude; Weighting; Multivariate statistics; Climatology; Environmental science; Meteorology; Remote sensing; Geography; Cartography; Precipitation; Machine learning; Artificial intelligence; Geodesy; Geology; Medicine; Radiology; Motion (physics); Operating system",,-3,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=1; exclude_hits=1","10.1038/s41597-020-0453-3","https://doi.org/10.1038/s41597-020-0453-3",,"openalex"
"scientific_data","10.1038/sdata.2017.122","oa_plant_functional_trait","Climatologies at high resolution for the earth’s land surface areas","Dirk Nikolaus Karger; Olaf Conrad; Jürgen Böhner; Tobias Kawohl; Holger Kreft; Rodrigo Wilber Soria-Auza; Niklaus E. Zimmermann; H. Peter Linder; Michael Kessler","High-resolution information on climatic conditions is essential to many applications in environmental and ecological sciences. Here we present the CHELSA (Climatologies at high resolution for the earth's land surface areas) data of downscaled model output temperature and precipitation estimates of the ERA-Interim climatic reanalysis to a high resolution of 30 arc sec. The temperature algorithm is based on statistical downscaling of atmospheric temperatures. The precipitation algorithm incorporates orographic predictors including wind fields, valley exposition, and boundary layer height, with a subsequent bias correction. The resulting data consist of a monthly temperature and precipitation climatology for the years 1979-2013. We compare the data derived from the CHELSA algorithm with other standard gridded products and station data from the Global Historical Climate Network. We compare the performance of the new climatologies in species distribution modelling and show that we can increase the accuracy of species range predictions. We further show that CHELSA climatological data has a similar accuracy as other products for temperature, but that its predictions of precipitation patterns are better.","Downscaling; Environmental science; Precipitation; Climatology; Orographic lift; Range (aeronautics); High resolution; Climate model; Quantitative precipitation estimation; Meteorology; Boundary layer; Orography; Atmospheric sciences; Climate change; Air temperature; Wind speed; Spatial distribution; Distribution (mathematics); Sea surface temperature; Model output statistics; Terrain; Atmospheric temperature; Surface (topology); General Circulation Model","Downscaling; Environmental science; Precipitation; Climatology; Orographic lift; Range (aeronautics); High resolution; Climate model; Quantitative precipitation estimation; Meteorology; Boundary layer; Orography; Atmospheric sciences; Climate change; Air temperature; Wind speed; Spatial distribution; Distribution (mathematics); Sea surface temperature; Model output statistics; Terrain; Atmospheric temperature; Surface (topology); General Circulation Model",,-16,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=2","10.1038/sdata.2017.122","https://doi.org/10.1038/sdata.2017.122",,"openalex"
"scientific_data","10.1038/sdata.2017.191","oa_plant_functional_trait","TerraClimate, a high-resolution global dataset of monthly climate and climatic water balance from 1958–2015","John T. Abatzoglou; Solomon Z. Dobrowski; Sean A. Parks; Katherine C. Hegewisch","We present TerraClimate, a dataset of high-spatial resolution (1/24°, ~4-km) monthly climate and climatic water balance for global terrestrial surfaces from 1958-2015. TerraClimate uses climatically aided interpolation, combining high-spatial resolution climatological normals from the WorldClim dataset, with coarser resolution time varying (i.e., monthly) data from other sources to produce a monthly dataset of precipitation, maximum and minimum temperature, wind speed, vapor pressure, and solar radiation. TerraClimate additionally produces monthly surface water balance datasets using a water balance model that incorporates reference evapotranspiration, precipitation, temperature, and interpolated plant extractable soil water capacity. These data provide important inputs for ecological and hydrological studies at global scales that require high spatial resolution and time varying climate and climatic water balance data. We validated spatiotemporal aspects of TerraClimate using annual temperature, precipitation, and calculated reference evapotranspiration from station data, as well as annual runoff from streamflow gauges. TerraClimate datasets showed noted improvement in overall mean absolute error and increased spatial realism relative to coarser resolution gridded datasets.","Evapotranspiration; Environmental science; Water balance; Precipitation; Climatology; Surface runoff; Multivariate interpolation; Streamflow; Spatial ecology; Atmospheric sciences; Meteorology; Drainage basin; Geography; Geology; Mathematics; Statistics; Bilinear interpolation; Ecology; Geotechnical engineering; Biology; Cartography","Evapotranspiration; Environmental science; Water balance; Precipitation; Climatology; Surface runoff; Multivariate interpolation; Streamflow; Spatial ecology; Atmospheric sciences; Meteorology; Drainage basin; Geography; Geology; Mathematics; Statistics; Bilinear interpolation; Ecology; Geotechnical engineering; Biology; Cartography",,-11,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=1; exclude_hits=2","10.1038/sdata.2017.191","https://doi.org/10.1038/sdata.2017.191",,"openalex"
"scientific_data","10.1038/sdata.2018.161","oa_plant_functional_trait","The HAM10000 dataset, a large collection of multi-source dermatoscopic images of common pigmented skin lesions","Philipp Tschandl; Cliff Rosendahl; Harald Kittler","Training of neural networks for automated diagnosis of pigmented skin lesions is hampered by the small size and lack of diversity of available datasets of dermatoscopic images. We tackle this problem by releasing the HAM10000 (""Human Against Machine with 10000 training images"") dataset. We collected dermatoscopic images from different populations acquired and stored by different modalities. Given this diversity we had to apply different acquisition and cleaning methods and developed semi-automatic workflows utilizing specifically trained neural networks. The final dataset consists of 10015 dermatoscopic images which are released as a training set for academic machine learning purposes and are publicly available through the ISIC archive. This benchmark dataset can be used for machine learning and for comparisons with human experts. Cases include a representative collection of all important diagnostic categories in the realm of pigmented lesions. More than 50% of lesions have been confirmed by pathology, while the ground truth for the rest of the cases was either follow-up, expert consensus, or confirmation by in-vivo confocal microscopy.","Dermatoscopy; Workflow; Computer science; Artificial intelligence; Ground truth; Training set; Benchmark (surveying); Pattern recognition (psychology); Set (abstract data type); Skin lesion; Data set; Artificial neural network; Machine learning; Dermatology; Landmark","Dermatoscopy; Workflow; Computer science; Artificial intelligence; Ground truth; Training set; Benchmark (surveying); Pattern recognition (psychology); Set (abstract data type); Skin lesion; Data set; Artificial neural network; Machine learning; Dermatology; Landmark",,0,FALSE,"plant_hits=0; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2018.161","https://doi.org/10.1038/sdata.2018.161",,"openalex"
"scientific_data","10.1038/sdata.2017.117","oa_plant_functional_trait","Advancing The Cancer Genome Atlas glioma MRI collections with expert segmentation labels and radiomic features","Spyridon Bakas; Hamed Akbari; Aristeidis Sotiras; Michel Bilello; Martin Rozycki; Justin Kirby; John Freymann; Keyvan Farahani; Christos Davatzikos","Gliomas belong to a group of central nervous system tumors, and consist of various sub-regions. Gold standard labeling of these sub-regions in radiographic imaging is essential for both clinical and computational studies, including radiomic and radiogenomic analyses. Towards this end, we release segmentation labels and radiomic features for all pre-operative multimodal magnetic resonance imaging (MRI) (n=243) of the multi-institutional glioma collections of The Cancer Genome Atlas (TCGA), publicly available in The Cancer Imaging Archive (TCIA). Pre-operative scans were identified in both glioblastoma (TCGA-GBM, n=135) and low-grade-glioma (TCGA-LGG, n=108) collections via radiological assessment. The glioma sub-region labels were produced by an automated state-of-the-art method and manually revised by an expert board-certified neuroradiologist. An extensive panel of radiomic features was extracted based on the manually-revised labels. This set of labels and features should enable i) direct utilization of the TCGA/TCIA glioma collections towards repeatable, reproducible and comparative quantitative studies leading to new predictive, prognostic, and diagnostic assessments, as well as ii) performance evaluation of computer-aided segmentation methods, and comparison to our state-of-the-art method.","Glioma; Segmentation; Neuroradiologist; Glioblastoma; Magnetic resonance imaging; Computer science; Cancer imaging; Medical physics; Medicine; Cancer; Radiology; Artificial intelligence; Cancer research; Internal medicine","Glioma; Segmentation; Neuroradiologist; Glioblastoma; Magnetic resonance imaging; Computer science; Cancer imaging; Medical physics; Medicine; Cancer; Radiology; Artificial intelligence; Cancer research; Internal medicine",,-21,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=0; exclude_hits=3","10.1038/sdata.2017.117","https://doi.org/10.1038/sdata.2017.117",,"openalex"
"scientific_data","10.1038/s41597-022-01899-x","oa_plant_functional_trait","MIMIC-IV, a freely accessible electronic health record dataset","Alistair E. W. Johnson; Lucas Bulgarelli; Lu Shen; Alvin Gayles; Ayad Shammout; Steven Horng; Tom Pollard; Sicheng Hao; Benjamin Moody; Brian Gow; Li-wei H. Lehman; Leo Anthony Celi; Roger G. Mark","Digital data collection during routine clinical practice is now ubiquitous within hospitals. The data contains valuable information on the care of patients and their response to treatments, offering exciting opportunities for research. Typically, data are stored within archival systems that are not intended to support research. These systems are often inaccessible to researchers and structured for optimal storage, rather than interpretability and analysis. Here we present MIMIC-IV, a publicly available database sourced from the electronic health record of the Beth Israel Deaconess Medical Center. Information available includes patient measurements, orders, diagnoses, procedures, treatments, and deidentified free-text clinical notes. MIMIC-IV is intended to support a wide array of research studies and educational material, helping to reduce barriers to conducting clinical research.","Electronic health record; Computer science; Health records; Information retrieval; World Wide Web; Health care; Political science; Law","Electronic health record; Computer science; Health records; Information retrieval; World Wide Web; Health care; Political science; Law",,-19,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=1; exclude_hits=3","10.1038/s41597-022-01899-x","https://doi.org/10.1038/s41597-022-01899-x",,"openalex"
