"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","query_source"
"scientific_data","10.1038/s41597-026-06652-2","epmc_title_plant_trait","BactoTraits: a trait database for exploring functional diversity of bacterial communities.",,,,,,0,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=0; exclude_hits=1","10.1038/s41597-026-06652-2","https://doi.org/10.1038/s41597-026-06652-2",,"europepmc"
"scientific_data","10.1038/s41597-026-06563-2","epmc_title_plant_trait","The Tervuren xylarium Wood Density Database (TWDD).",,,,,,7,FALSE,"plant_hits=1; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-026-06563-2","https://doi.org/10.1038/s41597-026-06563-2",,"europepmc"
"scientific_data","10.1038/s41597-025-05626-0","epmc_title_plant_trait","BeeFunc, a comprehensive trait database for French bees.",,,,,,8,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-05626-0","https://doi.org/10.1038/s41597-025-05626-0",,"europepmc"
"scientific_data","10.1038/s41597-025-05089-3","epmc_title_plant_trait","CheloniansTraits: a comprehensive trait database of global turtles and tortoises.",,,,,,10,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=1; exclude_hits=0","10.1038/s41597-025-05089-3","https://doi.org/10.1038/s41597-025-05089-3",,"europepmc"
"scientific_data","10.1038/s41597-025-04940-x","epmc_title_plant_trait","TraitAM, a global spore trait database for arbuscular mycorrhizal fungi.",,,,,,0,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=0; exclude_hits=1","10.1038/s41597-025-04940-x","https://doi.org/10.1038/s41597-025-04940-x",,"europepmc"
"scientific_data","10.1038/s41597-025-04728-z","epmc_title_plant_trait","CaecilianTraits, an individual level trait database of Caecilians worldwide.",,,,,,10,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=1; exclude_hits=0","10.1038/s41597-025-04728-z","https://doi.org/10.1038/s41597-025-04728-z",,"europepmc"
"scientific_data","10.1038/s41597-024-04307-8","epmc_title_plant_trait","The Octocoral Trait Database: a global database of trait information for octocoral species.",,,,,,2,FALSE,"plant_hits=0; trait_hits=2; measurement_hits=1; exclude_hits=1","10.1038/s41597-024-04307-8","https://doi.org/10.1038/s41597-024-04307-8",,"europepmc"
"scientific_data","10.1038/s41597-022-01884-4","epmc_title_plant_trait","The China plant trait database version 2.",,,,,,15,TRUE,"plant_hits=1; trait_hits=3; measurement_hits=0; exclude_hits=0; title_override=TRUE","10.1038/s41597-022-01884-4","https://doi.org/10.1038/s41597-022-01884-4",,"europepmc"
"scientific_data","10.1038/s41597-022-01626-6","epmc_title_plant_trait","FunAndes - A functional trait database of Andean plants.",,,,,,17,TRUE,"plant_hits=1; trait_hits=3; measurement_hits=1; exclude_hits=0","10.1038/s41597-022-01626-6","https://doi.org/10.1038/s41597-022-01626-6",,"europepmc"
"scientific_data","10.1038/s41597-025-04645-1","epmc_title_plant_trait","XyloDensMap: a georeferenced dataset for the wood density of 110,000 trees from 156 European species in France.",,,,,,10,TRUE,"plant_hits=2; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-04645-1","https://doi.org/10.1038/s41597-025-04645-1",,"europepmc"
