source_id,intake_type,display_name,source_group,supplied_filename_or_url,canonical_url_or_doi,related_publication,provenance_status,harvest_status,already_present_in_pipeline,existing_match_notes,next_action,notes
manual_shrubhub_traithub_repo,url,ShrubHub TraitHub GitHub repository,github_repository_with_paper,https://github.com/ShrubHub/TraitHub,https://github.com/ShrubHub/TraitHub,"Bjorkman et al. 2018, Nature, doi:10.1038/s41586-018-0563-7 — Plant functional trait change across a warming tundra biome",user-supplied,pending_review,no,"",Review repository structure and identify ingestible trait tables or exports,Added from conversation context as a manually supplied external source
manual_alltraits_phynames_csv,user-supplied filename,alltraits with phynames.csv,csv_file,alltraits with phynames.csv,"","Likely Spasojevic et al. 2016, J. Ecology, doi:10.1111/1365-2745.12518 — When does intraspecific trait variation contribute to functional beta-diversity? (to be confirmed against file contents)",user-supplied,pending_review,no,Dryad candidate doi:10.5061/dryad.rr4pm (Appendix S3 Trait data.xlsx) for the Spasojevic 2016 paper already exists in generated output/providers/dryad/candidate_datasets.csv; user-supplied CSV may be same data or a different version. Jesse Miller is likely the data contact who supplied it directly.,Inspect file contents and determine whether alltraits and phynames.csv should be ingested separately,Filename only from conversation context
manual_oztrait_data_joe_csv,user-supplied filename,oztrait data JoE.csv,csv_file,oztrait data JoE.csv,https://doi.org/10.1111/1365-2745.12518,"Spasojevic et al. 2016, J. Ecology, doi:10.1111/1365-2745.12518 — When does intraspecific trait variation contribute to functional beta-diversity? (oztrait = Ozark trait; JoE = Journal of Ecology)",user-supplied,pending_review,no,Dryad candidate doi:10.5061/dryad.rr4pm already in output/providers/dryad/candidate_datasets.csv; user-supplied oztrait file may be the same data shared directly by Jesse Miller (data contact). Source_id for the existing Dryad candidate is separate.,Review file contents and compare against existing Ozark or OzTrait-related candidates,Filename only from conversation context
manual_ozark_trait_metadata2_xlsx,user-supplied filename,ozark trait metadata2.xlsx,xlsx_file,ozark trait metadata2.xlsx,"",Companion metadata workbook for Spasojevic et al. 2016 Ozark trait study (doi:10.1111/1365-2745.12518); supplied directly by Jesse Miller.,user-supplied,pending_review,no,Metadata companion to oztrait data JoE.csv and alltraits with phynames.csv. Dryad deposit doi:10.5061/dryad.rr4pm.,Review workbook sheets and relate them to any distinct manual-source ingest path,Filename only from conversation context
manual_re_data_for_bien_eml,user-supplied filename,Re_ Data for BIEN.eml,eml_file,Re_ Data for BIEN.eml,"","Email communication from Jesse Miller (data contact for Ozark Spasojevic 2016 study, doi:10.1111/1365-2745.12518)",user-supplied,pending_review,no,"",Inspect metadata and locate any associated data payload before ingest decisions,Email attachment from Jesse Miller offering to share Ozark trait data directly with BIEN. Contains context about plot methodology and public papers. No formal DOI.
manual_bepsp_pablo_peri_xlsx,user-supplied filename,Biodiversity and Ecological long-term plots in Southern Patagonia (BEPSP)_Complete_(Pablo Peri).xlsx,xlsx_from_paper_authors,Biodiversity and Ecological long-term plots in Southern Patagonia (BEPSP)_Complete_(Pablo Peri).xlsx,https://doi.org/10.1016/j.jnc.2016.09.003,"Peri et al. 2016, J. Nature Conservation, doi:10.1016/j.jnc.2016.09.003 — Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network",user-supplied,pending_review,no,"",Review workbook structure and map candidate trait and provenance fields,Filename only from conversation context
manual_rainbio_central_africa,doi,RAINBIO: mega-database tropical African vascular plants,published_paper_with_dataset,https://doi.org/10.3897/phytokeys.74.9723,10.3897/phytokeys.74.9723,Dauby et al. 2016. RAINBIO: a mega-database of tropical African vascular plants distributions. PhytoKeys 74. doi:10.3897/phytokeys.74.9723,user-supplied,pending_review,no,"",Fetch RAINBIO dataset from associated Zenodo/Dryad deposit or PhytoKeys supplementary; map georeferenced vascular plant occurrences to Darwin Core; ingest to BIEN pipeline.,Data fit: Excellent. Georeferenced vascular plant records across tropical Africa. Region: Central Africa.
manual_ecat_central_africa,doi,ECAT: endemic and sub-endemic trees of Central Africa,published_paper_with_dataset,https://doi.org/10.3897/phytokeys.206.77379,10.3897/phytokeys.206.77379,Tack et al. 2022. The ECAT dataset: expert-validated distribution data of endemic and sub-endemic trees of Central Africa. PhytoKeys 206. doi:10.3897/phytokeys.206.77379,user-supplied,pending_review,no,"",Download ECAT dataset from PhytoKeys supplementary or associated data repository; map specimen occurrences (DRC/Rwanda/Burundi) to Darwin Core and BIEN schema.,Data fit: Excellent. Expert-validated specimen occurrences for DRC/Rwanda/Burundi. Region: Central Africa.
manual_gabon_gbif_ipt,gbif_occurrence_dataset,Gabon Vascular Plant Occurrences — Herbier National du Gabon,gbif_occurrence_dataset,https://www.gbif.org/dataset/10.15468/apz3nj,10.15468/apz3nj,Herbier National du Gabon GBIF/IPT dataset. Gabon vascular plant herbarium occurrence/specimen data.,user-supplied,pending_review,no,"",Download occurrence records via GBIF API using dataset DOI 10.15468/apz3nj; map to Darwin Core and BIEN schema.,Data fit: Excellent. Herbarium occurrence/specimen data for Gabon. Region: Central Africa/Gabon.
manual_flora_russia_inaturalist,doi,Flora of Russia on iNaturalist citizen-science dataset,published_paper_with_dataset,https://doi.org/10.3897/BDJ.8.e59249,10.3897/BDJ.8.e59249,Seregin et al. 2020. 'Flora of Russia' on iNaturalist: a dataset. Biodiversity Data Journal 8:e59249. doi:10.3897/BDJ.8.e59249,user-supplied,pending_review,no,"",Download dataset from BDJ supplementary or linked GBIF deposit; map large citizen-science vascular plant observations for Russia to Darwin Core and BIEN.,Data fit: Excellent. Very large citizen-science vascular plant observation dataset. Region: Russia.
